week,source,metric,value
2025-08-10T00:00:00.000Z,buffer_team,total_reach,355586
2025-08-17T00:00:00.000Z,buffer_team,total_reach,502892
2025-08-24T00:00:00.000Z,buffer_team,total_reach,468615
2025-08-31T00:00:00.000Z,buffer_team,total_reach,228871
2025-09-07T00:00:00.000Z,buffer_team,total_reach,477993
2025-09-14T00:00:00.000Z,buffer_team,total_reach,2372058
2025-09-21T00:00:00.000Z,buffer_team,total_reach,785900
2025-09-28T00:00:00.000Z,buffer_team,total_reach,618749
2025-10-05T00:00:00.000Z,buffer_team,total_reach,562752
2025-10-12T00:00:00.000Z,buffer_team,total_reach,565780
2025-10-19T00:00:00.000Z,buffer_team,total_reach,557112
2025-10-26T00:00:00.000Z,buffer_team,total_reach,1191135
2025-11-02T00:00:00.000Z,buffer_team,total_reach,1481000
2025-11-09T00:00:00.000Z,buffer_team,total_reach,17540452
2025-11-16T00:00:00.000Z,buffer_team,total_reach,306881
2025-11-23T00:00:00.000Z,buffer_team,total_reach,455380
2025-11-30T00:00:00.000Z,buffer_team,total_reach,754857
2025-12-07T00:00:00.000Z,buffer_team,total_reach,408124
2025-12-14T00:00:00.000Z,buffer_team,total_reach,804158
2025-12-21T00:00:00.000Z,buffer_team,total_reach,302066
2025-12-28T00:00:00.000Z,buffer_team,total_reach,142985
2026-01-04T00:00:00.000Z,buffer_team,total_reach,346461
