month,fts
2024-12-01,1100847
2025-01-01,1539284
2025-02-01,1428698
2025-03-01,1454415
2025-04-01,1328828
2025-05-01,1347469
2025-06-01,1247262
2025-07-01,1219487
2025-08-01,1064996
2025-09-01,1123623
2025-10-01,1170397
2025-11-01,1117948
2025-12-01,1173252
