service,name,avatar,posts,likes,reposts,comments_and_replies,reach,impressions,views
facebook,Buffer,https://buffer-channel-avatars-bucket.s3.amazonaws.com/605e1ee359f92514a301a994_1753364202918,14,59,0,3,0,5646,0
threads,buffer,https://buffer-channel-avatars-bucket.s3.amazonaws.com/68e3ca7cca3a4e6b7466e584_1764055550816,32,172,18,50,0,0,8690
twitter,buffer,https://pbs.twimg.com/profile_images/1946014187634790401/TIv_1DK-_normal.jpg,2,55,2,8,4508,0,0
instagram,buffer,https://buffer-channel-avatars-bucket.s3.amazonaws.com/602bbb466de888249b11abba_1752087229719,22,698,0,62,24597,0,52705
bluesky,buffer.com,https://buffer-channel-avatars-bucket.s3.amazonaws.com/669574c1602872be45885851_1761155420417,17,267,25,24,0,0,0
startPage,buffer,https://buffer-start-page-uploads.s3.amazonaws.com/defaults/1630246015634.buffer-logo.png,2,0,0,0,0,0,0
tiktok,bufferapp,https://buffer-channel-avatars-bucket.s3.amazonaws.com/62b312de18f2541a8a4c7f83_1742812968561,4,64,0,2,1379,0,1564
youtube,Buffer,https://yt3.ggpht.com/ytc/AIdro_lRaQR5sMn42xIPDlAxD9SSG7KjChgH4uj0fga-TmssuPmG=s88-c-k-c0x00ffffff-no-rj,1,1,0,0,0,0,877
linkedin,bufferapp,https://buffer-channel-avatars-bucket.s3.amazonaws.com/5c93a743dcfa5a327d653ef9_1754299494777,21,723,0,83,40818,0,6416
