month,signups
2024-10-01,116814
2024-11-01,118783
2024-12-01,109978
2025-01-01,125489
2025-02-01,115875
2025-03-01,114367
2025-04-01,113881
2025-05-01,117285
2025-06-01,114640
2025-07-01,115387
2025-08-01,110774
2025-09-01,112170
2025-10-01,110585
