province_name,total_confirmed_cases
Milano,292464
Torino,198921
Brescia,187578
Bergamo,164383
Cremona,86602
Roma,71441
Genova,69761
Monza e della Brianza,69520
Verona,68332
Reggio nell'Emilia,67320
