month,sessions
2024-09-01,7840
2024-10-01,10323
2024-11-01,10201
2024-12-01,8049
2025-01-01,8738
2025-02-01,7760
2025-03-01,9004
2025-04-01,8870
2025-05-01,8855
2025-06-01,6961
2025-07-01,5009
2025-08-01,3971
