week,median_posts_per_member
2024-06-30T00:00:00.000Z,1
2024-07-07T00:00:00.000Z,0
2024-07-14T00:00:00.000Z,2
2024-07-21T00:00:00.000Z,1
2024-07-28T00:00:00.000Z,1
2024-08-04T00:00:00.000Z,0
2024-08-11T00:00:00.000Z,1
2024-08-18T00:00:00.000Z,1
2024-08-25T00:00:00.000Z,1
2024-09-01T00:00:00.000Z,1
2024-09-08T00:00:00.000Z,1
2024-09-15T00:00:00.000Z,1
2024-09-22T00:00:00.000Z,1
2024-09-29T00:00:00.000Z,1
2024-10-06T00:00:00.000Z,0
2024-10-13T00:00:00.000Z,1
2024-10-20T00:00:00.000Z,0
2024-10-27T00:00:00.000Z,1
2024-11-03T00:00:00.000Z,0
2024-11-10T00:00:00.000Z,1
2024-11-17T00:00:00.000Z,1
2024-11-24T00:00:00.000Z,1
2024-12-01T00:00:00.000Z,0
2024-12-08T00:00:00.000Z,0
2024-12-15T00:00:00.000Z,1
2024-12-22T00:00:00.000Z,0
2024-12-29T00:00:00.000Z,0
2025-01-05T00:00:00.000Z,1
2025-01-12T00:00:00.000Z,1
2025-01-19T00:00:00.000Z,1
2025-01-26T00:00:00.000Z,1
2025-02-02T00:00:00.000Z,1
2025-02-09T00:00:00.000Z,0
2025-02-16T00:00:00.000Z,0
2025-02-23T00:00:00.000Z,0
2025-03-02T00:00:00.000Z,1
2025-03-09T00:00:00.000Z,1
2025-03-16T00:00:00.000Z,1
2025-03-23T00:00:00.000Z,1
2025-03-30T00:00:00.000Z,0
2025-04-06T00:00:00.000Z,1
2025-04-13T00:00:00.000Z,1
2025-04-20T00:00:00.000Z,1
2025-04-27T00:00:00.000Z,0
2025-05-04T00:00:00.000Z,1
2025-05-11T00:00:00.000Z,1
2025-05-18T00:00:00.000Z,1
2025-05-25T00:00:00.000Z,1
2025-06-01T00:00:00.000Z,1
2025-06-08T00:00:00.000Z,2
2025-06-15T00:00:00.000Z,2
